name,BH01,BH02,BH03,BH04,BH05,BH06,BH07,BH08,BH09,BH10,BH11,BH13,BH14,BH15,BH16,BH17,BH18,BH19,BH20,BH21,BH22,BH23,BH24,BH25,BH26,BH27,BH30,BH31,BH32,BH34,BH35,BH36,BH37,BH38,BH39,BH40,BH41,BH42,BH43,BH44,BH45,BH46,BH47,BH48,BH49,BH50,BH51,BH52,BH53,BH54,BH55,BH56,BH57,BH58,BH59,BH60,BH61
TMP,0.22,0.0961,0.187,0.15,0.0322,0.235,0.13,0.155,0.0603,0.12,0.119,0.0808,0.199,0.207,0.241,0.193,0.143,0.216,0.221,0.121,0.149,0.207,0.116,0.0814,0.159,0.158,0.0855,0.129,0.295,0.0632,0.0809,0.112,0.134,0.0722,0.205,0.104,0.129,0.0962,0.11,0.141,0.095,0.109,0.118,0.127,0.0779,0.0635,0.0805,0.11,0.13,0.145,0.0768,0.105,0.156,0.0644,0.108,0.127,0.0573
TEP,1.5232,0.08368,0.1776,0.4864,0.1664,0.2256,0.216,0.2016,0.3712,0.1744,0.3152,0.0808,0.2544,0.8,0.416,0.4736,0.3232,0.2208,0.3008,0.2512,0.2464,0.1296,0.568,0.3648,0.2112,0.5376,0.01696,0.07344,0.8864,0.10384,0.04704,0.06928,0.096,0.092,0.14128,0.07328,0.14944,0.04304,0.0704,0.06272,0.05712,0.1096,0.09456,0.116,0.04656,0.06976,0.07472,0.10848,0.09824,0.07856,0.08448,0.11008,0.264,0.0816,0.10464,0.12944,0.08976
TiBP,0.01342,0.005753,0.007854,0.01716,0.01188,0.01419,0.01199,0.01782,0.00979,0.03993,0.006952,0.004422,0.01265,0.02519,0.01782,0.00836,0.010428,0.01793,0.01331,0.01386,0.01705,0.009306,0.01518,0.0198,0.01518,0.01397,0.0004147,0.005247,0.03234,0.005104,0.004004,0.05643,0.007832,0.003927,0.009438,0.05434,0.007425,0.004114,0.005511,0.003487,0.04818,0.0176,0.02057,0.02035,0.003905,0.004884,0.007524,0.01441,0.10593,0.007337,0.009317,0.009174,0.01408,0.03058,0.05775,0.0484,0.011
TnBP,0.07524,0.2805,0.050556,0.42768,0.057156,0.059334,0.16632,0.55308,0.18744,0.10296,0.04389,0.18348,0.0858,0.34782,0.18084,0.024882,0.21252,0.3267,0.10296,0.53394,0.25344,0.08118,0.17094,0.15444,0.5115,0.20262,0.09504,0.034452,0.32472,0.30162,0.07062,0.1848,0.19734,0.061842,0.08712,0.23496,0.061446,0.22638,0.09966,0.0858,0.39732,0.20724,0.30954,0.37884,0.16104,0.1452,0.19998,0.21846,0.49104,0.10758,0.21252,0.18546,0.165,0.2013,0.1947,0.17952,0.13464
TCEP,1.09282,0.33128,0.98172,2.9492,0.89082,3.232,1.24634,2.4442,2.424,1.08676,2.626,0.31714,3.03,3.4138,1.15948,1.79982,2.323,3.1714,2.1008,1.83618,1.60388,1.02212,1.18978,2.9088,0.83022,1.94324,0.042622,0.46864,2.6866,0.3333,0.51106,0.53126,0.70296,0.29694,5.353,0.68276,0.505,1.15746,1.0504,1.7978,0.43026,1.30896,0.6969,0.74942,0.38986,0.50904,0.73528,1.10898,1.04434,0.909,1.86244,1.12918,0.83628,0.51106,0.87264,1.17362,0.97364
TCIPP,0.7616,0.43456,0.44928,1.7408,0.55552,1.1328,0.6656,1.3312,1.0112,2.848,0.8128,0.39872,1.216,1.9456,1.0624,0.61568,1.0752,1.28,1.0368,0.9984,0.9088,0.50112,1.0496,1.1584,0.7168,0.928,0.045248,0.6048,1.6,0.34112,0.2624,3.2064,0.5888,0.3136,1.5424,1.5872,0.51392,0.63104,0.864,0.48576,2.304,0.7808,0.9024,1.3824,0.44864,0.57088,0.672,1.1264,4.4096,0.864,0.672,0.704,0.8,0.6784,1.504,1.152,0.7552
TDCP,0,0,0,0.0315,0,0,0,0,0,0.0291,0,0,0,0,0,0.0324,0,0,0,0,0,0,0,0,0.0576,0,0,0,0.037,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0.0274,0.0297,0,0,0,0.0266,0,0,0.0263,0
TPhP,0,0,0,0.001756,0,0,0.00104,0.00396,0,0.00652,0,0,0,0.00408,0.0056,0,0.002676,0.002232,0,0.002096,0.001008,0,0,0.002572,0,0.00116,0,0,0.002676,0,0,0.00632,0,0,0,0.00288,0,0,0.00334,0,0.003632,0,0,0.00106,0,0,0,0,0.00512,0,0,0,0,0,0.00138,0,0
TBEP,0.008775,0.02808,0.01001,0.05603,0.008281,0.004654,0.02665,0.04303,0.01014,0.02834,0.04199,0.12389,0.006838,0.2821,0.03107,0.009594,0.07735,0.06747,0.01833,0.03003,0.05681,0.006097,0.00299,0.08424,0.01417,0.006357,0,0.005421,0.04875,0.01677,0.03796,0.02873,0.02002,0.01768,0.011752,0.008294,0.01794,0.01313,0.0208,0.01599,0.01196,0.01482,0.002743,0.01235,0.007696,0.02197,0.005759,0.011934,0.010712,0.012493,0.0156,1.378,0.02236,0.04745,0.01365,0.01664,0.01404
EHDPP,0,0.0009827,0,0,0,0,0,0.0006324,0,0.003782,0,0,0,0.0006138,0.0007967,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,0,0,0.0008215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEHP,0.00052318,0.007474,0.00060236,0.00259,0.00065268,0.0007992,0.0027528,0.0040478,0.0014134,0.0039664,0.002627,0.0057202,0.0009028,0.0023236,0.0029156,0.002368,0.0032634,0.0042846,0.0007474,0.0028712,0.007918,0.00067266,0.0008658,0.0007696,0.0017612,0.0023828,0.012136,0.0029452,0.15318,0.0033226,0.002479,0.0028342,0.0032634,0.0020054,0.0007548,0.0021164,0.0021756,0.002479,0.0036334,0.0023236,0.0024272,0.0019832,0.0031302,0.12654,0.001961,0.004588,0.0032412,0.0025974,0.002738,0.014282,0.003145,0,0.001998,0.0050172,0.0029822,0.0032116,0.003441
TPPO,0.07498,0.038226,0.0552,0.07314,0.07084,0.07498,0.05428,0.06026,0.04462,0.05152,0.04738,0.033074,0.07176,0.11914,0.1265,0.0667,0.06946,0.1104,0.1081,0.042734,0.06716,0.06946,0.06946,0.08694,0.05336,0.06302,0,0.036294,0.13754,0.022908,0.021804,0.032614,0.043516,0.02875,0.08188,0.031418,0.04692,0.022494,0.028336,0.026818,0.037582,0.0552,0.05474,0.06118,0.02369,0.033902,0.041216,0.06854,0.06854,0.045356,0.05566,0.06486,0.15318,0.042596,0.07636,0.06854,0.0575
